HOUSE_MANAGE_NO,HOUSE_TY,LTTOT_TOP_AMOUNT,MODEL_NO,PBLANC_NO,SPSPLY_HSHLDCO,SUPLY_AR,SUPLY_HSHLDCO
2024910229,084.9876B,60500,02,2024910229,0,,9
2024910229,084.9264C,60500,03,2024910229,0,,20
2024910228,059.9825B,48150,01,2024910228,0,,10
2024910228,084.9993A,58080,02,2024910228,0,,4
2024910227,084.9277A,56700,01,2024910227,0,,5
2024910227,084.9501B,55700,02,2024910227,0,,12
2024910227,099.8366A,67500,03,2024910227,0,,10
2024910227,099.9238B,64800,04,2024910227,0,,13
2024910226,053.1680 ,76936,01,2024910226,0,,3
2024910226,059.2760A,85700,02,2024910226,0,,3
2024910226,059.1730B,86454,03,2024910226,0,,3
2024910226,074.5540A,102101,04,2024910226,0,,8
2024910226,074.6060B,106058,05,2024910226,0,,3
2024910225,084.3693B,107473,01,2024910225,0,,40
2024910225,084.9796C,102866,02,2024910225,0,,67
2024910224,069.7058A,38500,01,2024910224,0,,15
2024910224,084.9105B,47630,02,2024910224,0,,21
2024910224,084.9633C,46140,03,2024910224,0,,8
2024910224,084.8914D,46140,04,2024910224,0,,5
2024910223,074.9935 ,52500,01,2024910223,0,,6
2024910223,084.9924A,55640,02,2024910223,0,,3
2024910223,084.9883B,56650,03,2024910223,0,,3
2024910222,032.7470B,29653,01,2024910222,0,,10
2024910222,059.3215A,59736,02,2024910222,0,,34
2024910222,059.4882B,66751,03,2024910222,0,,6
2024910222,059.0208C,59596,04,2024910222,0,,6
2024910221,074.9676A,41660,01,2024910221,0,,1
2024910221,084.9959A,48250,02,2024910221,0,,1
2024910220,074.9676A,44080,01,2024910220,0,,1
2024910219,056.7107 ,50900,01,2024910219,0,,6
2024910219,071.0210 ,62350,02,2024910219,0,,3
2024910218,068.9710B,42400,01,2024910218,0,,15
2024910218,084.9356B,48300,02,2024910218,0,,33
2024910218,101.9716 ,54000,03,2024910218,0,,9
2024910217,067.9639 ,85200,01,2024910217,0,,2
2024910217,084.8949B,107500,02,2024910217,0,,1
2024910216,059.9900A,80920,01,2024910216,0,,6
2024910216,075.4900 ,101460,02,2024910216,0,,3
2024910216,084.9400A,112100,03,2024910216,0,,7
2024910216,084.9000B,108650,04,2024910216,0,,1
2024910216,084.8700F,117170,05,2024910216,0,,2
2024910214,049.9644 ,37600,01,2024910214,0,,13
2024910213,076.9900A,44847,01,2024910213,0,,1
2024910212,084.9879A,58080,01,2024910212,0,,1
2024910210,084.7453A,55700,01,2024910210,0,,8
2024910210,084.8863B,53600,02,2024910210,0,,12
2024910210,084.9264C,54900,03,2024910210,0,,5
2024910210,117.9920 ,76300,04,2024910210,0,,5
2024910208,039.9400 ,23640,01,2024910208,0,,5
2024910207,074.8800C,33000,01,2024910207,0,,1
2024910207,084.9600A,40200,02,2024910207,0,,7
2024910207,084.8600B,39000,03,2024910207,0,,6
2024910206,016.7900A,28400,01,2024910206,0,,4
2024910206,016.9500D,28700,02,2024910206,0,,4
2024910206,017.0400A,28400,03,2024910206,0,,4
2024910206,017.3600B,26300,04,2024910206,0,,11
2024910206,017.0400D,29000,05,2024910206,0,,9
2024910206,027.3700C,39100,06,2024910206,0,,1
2024910205,084.5400A,79202,01,2024910205,0,,1
2024910205,084.8800E,77105,02,2024910205,0,,1
2024910205,099.8900B,88309,03,2024910205,0,,2
2024910204,059.9825B,48150,01,2024910204,0,,16
