BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,GNRL_RCEPT_BGNDE,GNRL_RCEPT_ENDDE,HMPG_ADRES,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SPSPLY_RCEPT_BGNDE,SPSPLY_RCEPT_ENDDE,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
인천 신흥동3가 지역주택조합,2022-06-17,2022-06-18,,,http://숭의역엘크루.com,2022910150,인천 신흥동 3가 숭의역 엘크루,04,무순위/잔여세대,인천광역시 중구 신흥동3가 7-79 외 25필지,22330,15996385,202504,2022910150,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910150&pblancNo=2022910150,2022-06-09,2022-05-20,,,2022-05-30,2022-05-31,28
아시아신탁주식회사,2022-06-08,2022-06-08,,,http://www.lapenthill.com,2022910147,라펜트 힐,04,무순위/잔여세대,광주광역시 광산구 임방울대로 816(월계동),62277,15333030,202412,2022910147,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910147&pblancNo=2022910147,2022-05-30,2022-05-20,,,2022-05-25,2022-05-25,2
도마 변동11재정비촉진구역 주택재개발정비사업조합,2022-06-08,2022-06-08,,,http://www.hobansummit-dmbd.co.kr/,2022910141,대전 도마·변동 11구역 호반써밋 그랜드 센트럴,04,무순위/잔여세대,대전광역시 서구 도마동 145-8번지 일원,35335,16704734,202501,2022910141,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910141&pblancNo=2022910141,2022-05-30,2022-05-20,,,2022-05-25,2022-05-25,7
주공생연아파트주택재건축정비사업조합,2022-06-03,2022-06-03,,,http://www.renewall-brownstone.co.kr/,2022910149,브라운스톤 인터포레,04,무순위/잔여세대,경기도 동두천시 생연동 284번지 일원,11318,0318615257,202412,2022910149,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910149&pblancNo=2022910149,2022-05-27,2022-05-19,,,2022-05-24,2022-05-24,29
디에스네트웍스(주),2022-06-03,2022-06-03,,,http://www.sdsk.co.kr,2022910146,송도 Luxe Ocean SK VIEW,04,무순위/잔여세대,"인천광역시 연수구 송도동 396-1(송도랜드마크시티 6, 8공구 A9블록)",22025,15336809,202503,2022910146,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910146&pblancNo=2022910146,2022-05-27,2022-05-19,,,2022-05-24,2022-05-24,9
(주)무궁화신탁,2022-06-03,2022-06-03,,,http://www.의정부역월드메르디앙스마트시티.com,2022910148,의정부역 월드메르디앙 스마트시티,04,무순위/잔여세대,경기도 의정부시 둔야로 19(의정부동),11649,16000232,202308,2022910148,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910148&pblancNo=2022910148,2022-05-26,2022-05-18,,,2022-05-23,2022-05-23,10
우리자산신탁 주식회사,2022-06-03,2022-06-03,,,http://www.베네하임더윈.com/,2022910145,작전역 베네하임 더윈,04,무순위/잔여세대,인천광역시 계양구 작전동 415,21089,0325431900,202401,2022910145,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910145&pblancNo=2022910145,2022-05-26,2022-05-18,,,2022-05-23,2022-05-23,13
주식회사 아시아드종합개발,2022-06-02,2022-06-02,,,http://www.dongwonapt.co.kr/buam2/,2022910143,부암2차 비스타동원 아트포레,04,무순위/잔여세대,부산광역시 부산진구 부암동 298-163번지 일원,47141,0514690111,202508,2022910143,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910143&pblancNo=2022910143,2022-05-26,2022-05-18,,,2022-05-23,2022-05-23,7
신영부동산신탁 주식회사,2022-06-03,2022-06-03,,,https://www.prugio.com/hc/2022/munsuro/,2022910142,문수로 푸르지오 어반피스,04,무순위/잔여세대,울산광역시 남구 신정동 1266-6번지 일원,44658,0522564000,202606,2022910142,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910142&pblancNo=2022910142,2022-05-26,2022-05-18,,,2022-05-23,2022-05-23,75
한국자산신탁(주),2022-06-03,2022-06-03,,,https://www.dlcon-apt.co.kr/,2022910140,e편한세상 안성 그랑루체,04,무순위/잔여세대,경기도 안성시 당왕동 42번지 일원,17584,0316771370,202410,2022910140,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910140&pblancNo=2022910140,2022-05-26,2022-05-16,,,2022-05-23,2022-05-23,2
