CNTRCT_AR,EXCLUSE_AR,GNSPLY_HSHLDCO,GP,HOUSE_MANAGE_NO,MODEL_NO,PBLANC_NO,SPSPLY_AGED_HSHLDCO,SPSPLY_NEW_MRRG_HSHLDCO,SPSPLY_YGMN_HSHLDCO,SUBSCRPT_REQST_AMOUNT,SUPLY_AMOUNT,SUPLY_AR,SUPLY_HSHLDCO,TP
209.5149,84.9638,4,-,2023850033,05,2023850033,0,0,0,30,67022,114.9452,4,84B
208.4470,84.9922,56,-,2023850033,06,2023850033,0,0,0,30,76902,113.8456,56,84C
209.0984,84.9754,1,-,2023850033,07,2023850033,0,0,0,30,66547,114.5158,1,84T
159.0633,84.9733,48,-,2023850032,01,2023850032,0,0,0,100,43367,108.0834,48,84A
159.0633,84.9733,0,-,2023850032,02,2023850032,0,70,0,100,38802,108.0834,70,84A-1
158.3675,84.8229,32,-,2023850032,03,2023850032,0,0,0,100,43082,107.4780,32,84B
158.3675,84.8229,0,-,2023850032,04,2023850032,0,48,0,100,38547,107.4780,48,84B-1
189.1234,101.3623,198,-,2023850032,05,2023850032,0,0,0,100,51917,128.3111,198,101A
188.5953,101.3132,189,-,2023850032,06,2023850032,0,0,0,100,51727,127.8123,189,101B
121.9784,59.9536,0,-,2023850031,01,2023850031,10,32,7,10,17900,83.6704,49,59A
123.2580,59.9960,0,-,2023850031,02,2023850031,5,41,12,10,17800,84.9230,58,59B
121.7906,59.9449,0,-,2023850031,03,2023850031,5,27,25,10,17700,83.4882,57,59C
148.3305,75.2470,0,-,2023850031,04,2023850031,4,0,0,10,21000,100.2506,4,75
162.8704,84.7229,0,-,2023850031,05,2023850031,3,0,1,10,22900,108.7358,4,84
48.1557,22.7553,30,-,2023850030,01,2023850030,0,0,0,10,500,36.1305,30,22A1
48.0876,22.6899,12,-,2023850030,02,2023850030,0,0,0,10,500,36.0970,12,22A2
48.3653,22.9653,48,-,2023850030,03,2023850030,0,0,0,10,500,36.2291,48,22A3
48.5897,23.1879,12,-,2023850030,04,2023850030,0,0,0,10,500,36.3359,12,23A2
62.5476,29.9623,30,-,2023850030,05,2023850030,0,0,0,10,1000,46.7138,30,29A1
61.6148,29.0370,30,-,2023850030,06,2023850030,0,0,0,10,1000,46.2700,30,29A2
86.7762,41.8984,7,-,2023850030,07,2023850030,0,0,0,10,1500,64.6347,7,41B
86.7762,41.8984,0,-,2023850030,08,2023850030,0,0,9,10,1500,64.6347,9,41D
88.4695,42.7132,3,-,2023850030,09,2023850030,0,0,0,10,1500,65.8973,3,42A1
88.2562,42.5018,1,-,2023850030,10,2023850030,0,0,0,10,1500,65.7959,1,42A2
88.0954,42.0767,7,-,2023850030,11,2023850030,0,0,0,10,1500,65.8597,7,42A3
88.0954,42.0767,0,-,2023850030,12,2023850030,0,0,9,10,1500,65.8597,9,42D
99.8694,47.9506,14,-,2023850030,13,2023850030,0,0,0,10,2000,74.5296,14,47A1
98.4658,47.3363,19,-,2023850030,14,2023850030,0,0,0,10,2000,73.4507,19,47A2
99.1558,47.2430,7,-,2023850030,15,2023850030,0,0,0,10,2000,74.1901,7,47A3
100.4489,47.9438,6,-,2023850030,16,2023850030,0,0,0,10,2000,75.1127,6,47B3
100.4489,47.9438,0,-,2023850030,17,2023850030,0,0,9,10,2000,75.1127,9,47D
99.8694,47.9506,0,-,2023850030,18,2023850030,0,0,6,10,2000,74.5296,6,47D1
98.4658,47.3363,0,-,2023850030,19,2023850030,0,0,9,10,2000,73.4507,9,47D2
99.1558,47.2430,0,-,2023850030,20,2023850030,0,0,3,10,2000,74.1901,3,47D3
107.7446,51.8599,3,-,2023850030,21,2023850030,0,0,0,10,2000,80.3389,3,52A
107.7446,51.8599,0,-,2023850030,22,2023850030,0,0,13,10,2000,80.3389,13,52D
140.9957,74.7155,0,-,2023850028,01,2023850028,0,20,0,10,15200,98.2364,20,74A
148.3924,59.9860,0,-,2023850027,01,2023850027,1,3,0,30,45560,81.6244,4,59A-2
149.3581,59.9884,0,-,2023850027,02,2023850027,1,0,1,30,43350,82.5875,2,59B-2
187.3454,75.9614,1,-,2023850027,03,2023850027,0,0,0,30,61702,102.7959,1,75
209.5720,84.9832,16,-,2023850027,04,2023850027,0,0,0,30,77377,114.9806,16,84A
209.5149,84.9638,5,-,2023850027,05,2023850027,0,0,0,30,75762,114.9452,5,84B
208.4470,84.9922,31,-,2023850027,06,2023850027,0,0,0,30,76902,113.8456,31,84C
209.0984,84.9754,1,-,2023850027,07,2023850027,0,0,0,30,66547,114.5158,1,84T
121.9784,59.9536,0,-,2023850026,01,2023850026,11,33,10,10,17900,83.6704,54,59A
123.2580,59.9960,0,-,2023850026,02,2023850026,5,41,21,10,17800,84.9230,67,59B
121.7906,59.9449,0,-,2023850026,03,2023850026,5,27,27,10,17700,83.4882,59,59C
148.3305,75.2470,0,-,2023850026,04,2023850026,4,1,0,10,21000,100.2506,5,75
162.8704,84.7229,0,-,2023850026,05,2023850026,3,1,1,10,22900,108.7358,5,84
148.3924,59.9860,1,-,2023850025,01,2023850025,0,0,0,30,57570,81.6244,1,59A-1
148.3924,59.9860,0,-,2023850025,02,2023850025,2,4,0,30,45985,81.6244,6,59A-2
149.3581,59.9884,0,-,2023850025,03,2023850025,1,1,0,30,42287,82.5875,2,59B-2
187.3454,75.9614,3,-,2023850025,04,2023850025,0,0,0,30,61987,102.7959,3,75
209.5720,84.9832,16,-,2023850025,05,2023850025,0,0,0,30,77377,114.9806,16,84A
209.5149,84.9638,5,-,2023850025,06,2023850025,0,0,0,30,75762,114.9452,5,84B
208.4470,84.9922,30,-,2023850025,07,2023850025,0,0,0,30,76902,113.8456,30,84C
209.0984,84.9754,1,-,2023850025,08,2023850025,0,0,0,30,66547,114.5158,1,84T
90.9227,44.9800,0,-,2023850023,01,2023850023,0,0,20,10,500,59.3159,20,44A
91.0281,44.8800,0,-,2023850023,02,2023850023,0,0,10,10,500,59.4917,10,44B
122.5748,59.9500,0,-,2023850023,03,2023850023,0,0,11,10,500,80.4489,11,59
122.5748,59.9500,0,-,2023850023,04,2023850023,0,0,40,10,12000,80.4489,40,59-1
156.1887,76.8800,53,-,2023850023,05,2023850023,0,0,0,10,17000,102.1663,53,76
156.1887,76.8800,0,-,2023850023,06,2023850023,0,0,1,10,17000,102.1663,1,76-1
172.4025,84.9500,250,-,2023850023,07,2023850023,0,0,0,10,18000,112.7094,250,84A
172.6325,84.9500,9,-,2023850023,08,2023850023,0,0,0,10,18000,112.9394,9,84B
172.4025,84.9500,12,-,2023850023,09,2023850023,0,0,0,10,18000,112.7094,12,84C
