BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,HMPG_ADRES,HOUSE_DTL_SECD,HOUSE_DTL_SECD_NM,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SEARCH_HOUSE_SECD,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
주식회사 케이티앤지,2024-11-13,2024-11-14,http://sb-ubora.com/,02,오피스텔,2024950080,상봉역 유보라 퍼스트리브,02,도시형/오피스텔/생활숙박시설/민간임대,"서울특별시 중랑구 망우로 322 (상봉동, 상봉역 유보라 퍼스트리브)",02149,18004222,202411,2024950080,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950080&pblancNo=2024950080&houseSecd=02,2024-11-12,2024-11-01,0202,2024-11-06,2024-11-07,25
문화지구주택재개발정비사업조합,2024-11-14,2024-11-16,,03,민간임대,2024950078,교대역 푸르지오 트레힐즈,02,도시형/오피스텔/생활숙박시설/민간임대,대구광역시 남구 이천동 474-1번지 일원,42427,0534725559,202411,2024950078,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950078&pblancNo=2024950078&houseSecd=02,2024-11-13,2024-11-01,0203,2024-11-06,2024-11-08,60
천호4촉진구역 도시환경정비사업조합,2024-11-08,2024-11-08,https://www.더샵강동센트럴시티.kr ,02,오피스텔,2024950077,더샵 강동센트럴시티,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 강동구 천호동 410-100,05322,16612001,202512,2024950077,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950077&pblancNo=2024950077&houseSecd=02,2024-11-07,2024-10-29,0202,2024-11-04,2024-11-04,15
케이비부동산신탁(주),2024-11-04,2024-11-04,,02,오피스텔,2024950076,폴스타인 논현,02,도시형/오피스텔/생활숙박시설/민간임대,"서울특별시 강남구 논현동 236-8,9번지",06109,025433927,202501,2024950076,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950076&pblancNo=2024950076&houseSecd=02,2024-11-01,2024-10-24,0202,2024-10-29,2024-10-29,9
(주)무궁화신탁,2024-11-04,2024-11-04,https://xi.co.kr/pangyo-office,02,오피스텔,2024950075,판교밸리자이 3단지 오피스텔,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 성남시 수정구 대왕판교로 961 ,13106,15338178,202501,2024950075,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950075&pblancNo=2024950075&houseSecd=02,2024-10-31,2024-10-22,0202,2024-10-28,2024-10-28,3
(주)엘티대한제8호위탁관리부동산투자회사,2024-11-06,2024-11-07,https://www.elyes.co.kr/main/main.do,03,공공지원민간임대,2024850022,양산 사송지구 B-8BL 사송 롯데캐슬,03,공공지원민간임대,경상남도 양산시 동면 사송리 1218번지 (양산 사송지구 B-8BL),50637,0553724999,202411,2024850022,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850022&pblancNo=2024850022&houseSecd=03,2024-10-28,2024-10-18,0303,2024-10-23,2024-10-23,272
주식회사 건영,2024-10-30,2024-10-30,https://서현라포르테블랑.com,02,오피스텔,2024950074,라포르테 블랑 서현,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 성남시 분당구 서현동 275번지,13590,18991160,202411,2024950074,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950074&pblancNo=2024950074&houseSecd=02,2024-10-29,2024-10-17,0202,2024-10-22,2024-10-24,7
주식회사 건영,2024-11-15,2024-11-19,http://la-porte.kr,01,도시형생활주택,2024950073,라포르테 세종,02,도시형/오피스텔/생활숙박시설/민간임대,세종특별자치시 행정중심복합도시 6-4생활권 B1블록,30095,07088358868,202411,2024950073,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950073&pblancNo=2024950073&houseSecd=02,2024-11-04,2024-10-17,0201,2024-10-28,2024-10-30,10
주식회사 미스조,2024-10-28,2024-10-29,https://blog.naver.com/avenueblanc,02,오피스텔,2024950070,하남시청역 에비뉴블랑,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 하남시 덕풍동 326-16 에비뉴블랑,12971,0269595427,202411,2024950070,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950070&pblancNo=2024950070&houseSecd=02,2024-10-25,2024-10-16,0202,2024-10-21,2024-10-22,4
이에스웰리지 주식회사,2024-10-23,2024-10-24,https://blog.naver.com/candi8588/223493100363,02,오피스텔,2024950071,잠실역 웰리지더테라스,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 송파구 올림픽로34길 5-14 (방이동),05544,15440870,202410,2024950071,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950071&pblancNo=2024950071&houseSecd=02,2024-10-22,2024-10-11,0202,2024-10-16,2024-10-17,4
교보자산신탁(주),2024-11-05,2024-11-07,https://장위아트포레.com,01,도시형생활주택,2024950069,상월곡역 장위아트포레,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 성북구 석관동 338-18 일원,02791,029660988,202505,2024950069,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950069&pblancNo=2024950069&houseSecd=02,2024-10-25,2024-10-11,0201,2024-10-21,2024-10-22,8
